"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The development of reducing risk system for running injury","S. Buddhamongkol; W. Suntiamorntut","Department of computer engineering, Faculty of Engineering, Prince of Songkla University, Hadyai Sonkhla 90112 Thailand; Department of computer engineering, Faculty of Engineering, Prince of Songkla University, Hadyai Sonkhla 90112 Thailand","2016 13th International Joint Conference on Computer Science and Software Engineering (JCSSE)","21 Nov 2016","2016","","","1","5","This paper describes the detection and monitoring human running for alert and reduces a risk of injuries. The design divided into two part. There are comprised of the detection of stop suddenly running and the monitoring ground force reaction (GFR) of human running behavior for analysis running gesture in medical. Design and development using the accelerometer based on a smartphone. The recognition using the Support Vector Magnitude (SVM) algorithm for detected stop suddenly running and the third of Newton's laws for calculated GFR. The system alert using the vibrator of smartphone and collected into a log file for monitoring human posture. The experimental results using true classification rate for analyzing the performance of SVM acceleration and represented the corrected of human running stop suddenly. For male runner accuracy about 97 percentage and female runner accuracy about 94 percentage.","","978-1-5090-2033-1","10.1109/JCSSE.2016.7748843","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7748843","Accelerometer;stop sudden;human monitoring","Support vector machines;Acceleration;Force;Injuries;Monitoring;Legged locomotion;Accelerometers","health care;medical computing;Newton method;risk analysis;support vector machines","reducing risk system;running injury;human running monitoring;human running detection;ground force reaction;GFR;human running behavior;support vector magnitude;SVM algorithm;Newton's laws","","","","11","","21 Nov 2016","","","IEEE","IEEE Conferences"
"On the Practicality of a Smart Contract PKI","C. Patsonakis; K. Samari; A. Kiayiasy; M. Roussopoulos",University of Athens; University of Athens; University of Edinburgh and IOHK; University of Athenss,"2019 IEEE International Conference on Decentralized Applications and Infrastructures (DAPPCON)","1 Aug 2019","2019","","","109","118","Public key infrastructures (PKIs) are one of the main building blocks for securing communications over the Internet. Currently, PKIs are under the control of centralized authorities, which is problematic as evidenced by numerous incidents where they have been compromised. The distributed, fault tolerant log of transactions provided by blockchains and more recently, smart contract platforms, constitutes a powerful tool for the decentralization of PKIs. To verify the validity of identity records, blockchain-based identity systems store on chain either all identity records, or, a small (or even constant) sized amount of data for verifying identity records stored off chain. However, as most of these systems have never been implemented, there is little information regarding the practical implications of each design's tradeoffs. In this work, we first implement and evaluate the only provably secure, smart contract based PKI of Patsonakis et al. on top of Ethereum. This construction incurs constant-sized storage at the expense of computational complexity. To explore this tradeoff, we propose and implement a second construction which, eliminates the need for trusted setup, preserves the security properties of Patsonakis et al. and, as illustrated through our evaluation, is the only version with constant-sized state that can be deployed on the live chain of Ethereum. Furthermore, we compare these two systems with the simple approach of most prior works, e.g., the Ethereum Name Service, where all identity records are stored on the smart contract's state, to illustrate several shortcomings of Ethereum and its cost model. We propose several modifications for fine tuning the model, which would be useful to be considered for any smart contract platform like Ethereum so that it reaches its full potential to support arbitrary distributed applications.","","978-1-7281-1264-0","10.1109/DAPPCON.2019.00022","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=8783157","blockchain;smart contract;Ethereum;accumulator","Smart contracts;Blockchain;Additives;Internet;Cryptography;Privacy","computational complexity;contracts;formal specification;Internet;public key cryptography;software fault tolerance;system monitoring;telecommunication security","smart contract PKI;public key infrastructures;main building blocks;securing communications;centralized authorities;smart contract platform;blockchain-based identity systems store;provably secure contract;Ethereum;constant-sized storage;security properties;constant-sized state;live chain;Internet;distributed applications;communication security;identity records verification","","3","","49","","1 Aug 2019","","","IEEE","IEEE Conferences"
"Wireless fingerprint attendance management system","M. Kamaraju; P. A. Kumar","Department of E.C.E, Gudlavalleru Engineering College, Andhra Pradesh, India-521 356; Department of E.C.E, Gudlavalleru Engineering College, Andhra Pradesh, India-521 356","2015 IEEE International Conference on Electrical, Computer and Communication Technologies (ICECCT)","27 Aug 2015","2015","","","1","6","This paper presents the design methodology of a simple and high real time Zigbee - biometric system for easy and time saving attendance management using the finger prints of the employees at any organization along with the employee incoming and outgoing log maintenance. Firstly employee's fingerprints are scanned by software and an identity number is allotted as their enrollment. During the attendance time when employees impress their fingerprints, against the scanner, the system compares the new fingerprint patterns and the connection between various points in the fingerprint with the enrollment database. A match is recorded as a knock exercising acquisition, processing, transmission, matching. Through this automatic system, time and manpower is reduced to the great extent.","","978-1-4799-6085-9","10.1109/ICECCT.2015.7226163","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7226163","attendance;zigbee;fingerprint;gabor filter;image enhancement","Zigbee;Digital signal processing;Fingerprint recognition;Image resolution;Transmitters;Computers;Ports (Computers)","business data processing;fingerprint identification;personnel;Zigbee","wireless fingerprint attendance management system;Zigbee-biometric system;time saving attendance management;employee incoming log maintenance;employee outgoing log maintenance;fingerprint scanning;fingerprint patterns;enrollment database;knock exercising acquisition","","10","","11","","27 Aug 2015","","","IEEE","IEEE Conferences"
"Semi-synthetic data set generation for security software evaluation","F. Skopik; G. Settanni; R. Fiedler; I. Friedberg","Safety and Security Department, AIT Austrian Institute of Technology, Austria; Safety and Security Department, AIT Austrian Institute of Technology, Austria; Safety and Security Department, AIT Austrian Institute of Technology, Austria; Safety and Security Department, AIT Austrian Institute of Technology, Austria","2014 Twelfth Annual International Conference on Privacy, Security and Trust","8 Sep 2014","2014","","","156","163","Threats to modern ICT systems are rapidly changing these days. Organizations are not mainly concerned about virus infestation, but increasingly need to deal with targeted attacks. This kind of attacks are specifically designed to stay below the radar of standard ICT security systems. As a consequence, vendors have begun to ship self-learning intrusion detection systems with sophisticated heuristic detection engines. While these approaches are promising to relax the serious security situation, one of the main challenges is the proper evaluation of such systems under realistic conditions during development and before roll-out. Especially the wide variety of configuration settings makes it hard to find the optimal setup for a specific infrastructure. However, extensive testing in a live environment is not only cumbersome but usually also impacts daily business. In this paper, we therefore introduce an approach of an evaluation setup that consists of virtual components, which imitate real systems and human user interactions as close as possible to produce system events, network flows and logging data of complex ICT service environments. This data is a key prerequisite for the evaluation of modern intrusion detection and prevention systems. With these generated data sets, a system's detection performance can be accurately rated and tuned for very specific settings.","","978-1-4799-3503-1","10.1109/PST.2014.6890935","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6890935","anomaly detection evaluation;synthetic data set generation;scalable system behavior model","Virtual machining;Databases;Testing;Complexity theory;Intrusion detection;Data models","data handling;security of data","semisynthetic data set generation;security software evaluation;ICT systems;information and communication technology systems;virus infestation;ICT security systems;self-learning intrusion detection systems;heuristic detection engines;intrusion detection and prevention systems","","12","","14","","8 Sep 2014","","","IEEE","IEEE Conferences"
"Machine learning on merging static and dynamic features to identify malicious mobile apps","M. Su; J. Chang; K. Fung","Department of Computer Science and Information Engineering, Ming Chuan University, Taoyuan, Taiwan; Department of Computer Science and Information Engineering, Ming Chuan University, Taoyuan, Taiwan; Department of Computer Science and Information Engineering, Ming Chuan University, Taoyuan, Taiwan","2017 Ninth International Conference on Ubiquitous and Future Networks (ICUFN)","27 Jul 2017","2017","","","863","867","The amount of Android system-targeted malware has increased dramatically in recent years, and Android has been the focus of far more malware targeting than other mobile operating systems. In order to reduce the hazards of malware, this paper proposes a malware detection system with static and dynamic app features. In terms of the static features, the permissions, native-permissions, function and priority of an app are extracted as the base of analysis. In terms of the dynamic feature, the app is executed in a sandbox emulator, and then log files are analyzed to identify behaviors that help judgment, such as sending short messages without permission, modifying system files or reading personal data. This system extracts the static and dynamic features of an app, which are then merged before the weights are adjusted appropriately. Finally, Weka is used for training to obtain the detection module. According to the experiment, an unknown malicious act is evaluated using tenfold cross validation; the proposed system achieves a 97.4% accuracy.","2165-8536","978-1-5090-4749-9","10.1109/ICUFN.2017.7993923","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7993923","Machine learning;Weka;Android system;static feature;dynamic feature;feature weight;Android emulator;tenfold;malware","Malware;Smart phones;Feature extraction;Training;Mobile communication;Google","Android (operating system);invasive software;learning (artificial intelligence);mobile computing","machine learning;static app features;dynamic app features;malicious mobile apps;Android system-targeted malware;mobile operating systems;malware detection system;native-permissions;sandbox emulator;short messages;system files;personal data;Weka;detection module;malicious act;tenfold cross validation","","2","","27","","27 Jul 2017","","","IEEE","IEEE Conferences"
"Fast Delaunay Triangulation and Voronoi Diagram Generation on the Sphere","Y. Ma; Q. Chen","Center for Digital Media Comput., Shenzhen Institutes of Adv. Technol., Shenzhen, China; Center for Digital Media Comput., Shenzhen Institutes of Adv. Technol., Shenzhen, China","2010 Second World Congress on Software Engineering","22 Feb 2011","2010","1","","187","190","We describe a fast surface reconstruction approach that takes random points distributed near the surface of a sphere as input, and generates as output a Delaunay surface mesh and its dual Voronoi diagram of the sphere. The method starts from dividing the sphere surface into several initial triangles and introduces a concept of index sites in order to employ the randomized incremental algorithm to get the Delaunay triangulation. We develop a heuristic point search method which can locate a random point within the current triangle efficiently. This method is very efficient because no additional storage is needed to record the flip history and a new random point insertion algorithm is used. We test the performance on a collection of point sample sets and demonstrate a 30% performance improvement compared to existing O(n log n) 3D randomized incremental algorithms.","","978-1-4244-9287-9","10.1109/WCSE.2010.136","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=5718291","randomized incremental algorithm;Delaunay triangulation;Voronoi diagram","Mathematical model;Equations;Indexes;Three dimensional displays;Surface reconstruction;History;Algorithm design and analysis","computational geometry;mesh generation;random processes;search problems;surface reconstruction","Delaunay triangulation;Voronoi diagram generation;surface reconstruction;Delaunay surface mesh;sphere surface;index site;randomized incremental algorithm;heuristic point search;random point insertion algorithm","","","","12","","22 Feb 2011","","","IEEE","IEEE Conferences"
"Interfacing Computing Platforms for Dynamic Control and Identification of an Industrial KUKA Robot Arm","L. Salameen; A. Estatieh; S. Darbisi; T. A. Tutunji; N. A. Rawashdeh","German Jordanian University,Dept. of Mechatronics Engineering,Amman,Jordan; German Jordanian University,Dept. of Mechatronics Engineering,Amman,Jordan; German Jordanian University,Dept. of Mechatronics Engineering,Amman,Jordan; Philadelphia University,Dept. of Mechatronics Engineering,Amman,Jordan; Michigan Technological University,Dept. of Applied Computing,Houghton,MI,USA","2020 21st International Conference on Research and Education in Mechatronics (REM)","12 Jan 2021","2020","","","1","5","The KUKA Agilus industrial robot arm is a relatively small robot suitable for industrial automation applications requiring a fast light-weight robot. This robot is popular with university research laboratories and educational settings. Several tools for interfacing personal computers and software packages with the robot controller are shared amongst researchers and developers. This paper presents a user interface that was developed as an interface platform between the KUKA Agilus industrial robot arm and personal computers. The developed program is dubbed, the GJU-KUKA Tool Kit, and includes two tools. The first tool uses the JOpenShowVar toolkit to dynamically collect the logging data from the robots six joints to the personal computer, enabling the analysis of robot motion dynamics and real-time control. The second tool uses OpenCV library to draw image files uploaded on the personal computer. The functionality of these tools are described in this paper along with a discussion of sample output and potential research applications.","","978-1-7281-6224-9","10.1109/REM49740.2020.9313878","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=9313878","KUKA;industrial robot;interfacing;control;identification;image processing","Robots;Service robots;Tools;Mobile robots;Microcomputers;Libraries;End effectors","control engineering computing;image sensors;industrial manipulators;Java;mobile robots;motion control;production engineering computing;public domain software;robot vision","interfacing personal computers;robot controller;user interface;interface platform;KUKA Agilus industrial robot arm;personal computer;GJU-KUKA Tool Kit;robots six joints;robot motion dynamics;computing platforms;dynamic control;industrial KUKA robot arm;industrial automation applications;fast light-weight robot","","","","26","","12 Jan 2021","","","IEEE","IEEE Conferences"
"MEMS accelerometer based low-cost collision impact analyzer","M. S. A. Rupok; H. K. Patnaik; Xuewen Ding; S. Ganesan","Electrical and Computer Engineering, Oakland University, Rochester hills, Michigan, USA; Electrical and Computer Engineering, Oakland University, Rochester hills, Michigan, USA; Electrical and Computer Engineering, Oakland University, Rochester hills, Michigan, USA; Electrical and Computer Engineering, Oakland University, Rochester hills, Michigan, USA","2016 IEEE International Conference on Electro Information Technology (EIT)","8 Aug 2016","2016","","","0393","0396","Accident impact analysis helps to minimize losses such as death, injuries and property damage due to vehicle collision on road. An efficient impact analyzer is capable of accumulating and processing large amount of data very quickly. Hardware and software both plays important role to collect, process and store large amount of data within a very short period of time. MEMS accelerometers are cost effective and offer better performance with high functionalities compared to conventional piezoelectric accelerometers. The purpose of this paper is to conduct in-depth analyses of low-cost impact analyzer. Hardware and software consideration to implement a low cost impact analyzer (LCIA) are discussed. To simulate the accident, the system has been dropped from a certain height. With time-stamp, the tested data was recorded into microSD card and later the data was analyzed in computer and discussed.","2154-0373","978-1-4673-9985-2","10.1109/EIT.2016.7535272","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7535272","MEMS;Accelelerometer;Real-time data logging;G-force;Collision Impact","Accelerometers;Acceleration;Sensors;Micromechanical devices;Accidents;Vehicles;Hardware","accelerometers;micromechanical devices","MEMS accelerometer;low-cost collision impact analyzer;accident impact analysis;vehicle collision;piezoelectric accelerometer;low cost impact analyzer;LCIA;time-stamp;microSD card;microelectromechanical system","","1","","16","","8 Aug 2016","","","IEEE","IEEE Conferences"
"Rapid shallow coastal coral reef mapping using the teardrop system","F. J. Corpuz; P. Naval; E. Capili; J. Jauod; R. J. Judilla; M. Soriano","Vision and Image Processing Group, National Institute of Physics, University of the Philippines Diliman, Quezon City, Philippines; Computer Vision and Machine, Intelligence Group, Department of Computer Science, University of the Philippines Diliman, Quezon City, Philippines; Mapua Robotics Center, Special Projects Laboratory, Institutional Laboratory Mgmt Office, Mapua Institute of Technology, Intramuros, Manila, Philippines; Mapua Robotics Center, Special Projects Laboratory, Institutional Laboratory Mgmt Office, Mapua Institute of Technology, Intramuros, Manila, Philippines; Mapua Robotics Center, Special Projects Laboratory, Institutional Laboratory Mgmt Office, Mapua Institute of Technology, Intramuros, Manila, Philippines; Vision and Image Processing Group, National Institute of Physics, University of the Philippines Diliman, Quezon City, Philippines","2012 Oceans","10 Jan 2013","2012","","","1","6","We present a rapid shallow coastal reef mapping system using a previously developed inexpensive diver less video capture system coupled with a fast-image mosaicking technique, using an affordable GPS logging device. The system replaces the traditional manta tow system of assessing and monitoring large areas of coastal coral reefs and at the same time provides historical visual record for future references. The system utilizes Teardrop, a hollow, teardrop-shaped that houses a commercial underwater point-and-shoot camera. The camera is set to video mode and captures video of the reef while the Teardrop is being towed by a wooden fishing boat. The resulting video is parsed into frames and mosaicked by using fast image labeling. The approximate location of the mosaicked images is recorded by using an inexpensive GPS logger. The coordinates are embedded on the mosaicked images and overlaid on mapping software such as Google Earth for visual record and spatial information integration. The same points are used to compute for the total distance covered by the capturing process. The whole process from coral reef video capture to mosaicking the images and finally embedding the mosaics in mapping software can be done in as short as 1 day, providing coastal managers and local government units with a tool to rapidly visualize and monitor shallow coral reefs.","0197-7385","978-1-4673-0831-1","10.1109/OCEANS.2012.6405113","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6405113","image stitching;image mosaicing;fast image labelling;underwater imaging;towed-imaging apparatus;Teardrop;coral mapping","Global Positioning System;Monitoring;Cameras;Sea measurements;Earth;Boats;Google","geophysical image processing;image segmentation;oceanographic techniques","rapid shallow coastal coral reef mapping;teardrop system;rapid shallow coastal reef mapping system;video capture system;fast-image mosaicking technique;GPS logging device;traditional manta tow system;commercial underwater point-and-shoot camera;wooden fishing boat;fast image labeling;mosaicked images;inexpensive GPS logger;mapping software;Google Earth","","","","27","","10 Jan 2013","","","IEEE","IEEE Conferences"
"Pymote 2.0: Development of an Interactive Python Framework for Wireless Network Simulations","F. Shahzad","Information and Computer Science Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia","IEEE Internet of Things Journal","9 Jan 2017","2016","3","6","1182","1188","Wireless sensor networks (WSNs) are utilized in various applications and are providing the backbone for the new pervasive Internet, or Internet of Things. The development of a reliable and robust large-scale WSN system requires that the design concepts are checked and optimized before they are implemented and tested for a specific hardware platform. Simulation provides a cost effective and feasible method of examining the correctness and scalability of the system before deployment. In this paper, we study the performance of Pymote, a high level Python library for event-based simulation of distributed algorithms in wireless ad-hoc networks. We extended the Pymote framework allowing it to simulate packet level performance. The extension includes radio propagation, energy consumption, mobility and other models. The extended framework also provides interactive plotting, data collection and logging facilities for improved analysis and evaluation of the simulated system.","2327-4662","","10.1109/JIOT.2016.2570220","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7471405","Distributed event modeling;Python;simulation;wireless sensor network (WSN)","Wireless sensor networks;Object oriented modeling;Topology;Algorithm design and analysis;Internet of things;Energy consumption","ad hoc networks;software libraries;telecommunication computing;wireless sensor networks","interactive Python framework;wireless sensor networks;WSN;high level Python library;distributed algorithms;wireless ad-hoc networks;Pymote 2.0 framework","","4","","22","","18 May 2016","","","IEEE","IEEE Journals"
"The Landscape of Media Application Deployment","A. Kovalick","SMPTE Technical Conference, Hollywood, Ca, USA","The 2011 Annual Technical Conference & Exhibition","19 Oct 2015","2011","","","1","18","User software applications (apps) are the lifeblood of a media professional: creating, capturing, scheduling, logging, searching, editing, reviewing, managing, publishing, and more. The common desktop installable program (.exe) is being eclipsed by new methods of application deployment. Web methods, virtualization techniques, and cloud computing are enabling new ways to develop and deploy applications with outstanding value for end users and administrators. Of special importance are advantages gained in the areas of performance, simplicity, access patterns, software distribution, upgrades, and configuration management. This paper will survey the landscape of software application methods including Rich Internet Applications using browsers or sandboxed app players, hosted desktop virtualization, application streaming, and native apps for tablets/phones","","978-1-61482-940-9","10.5594/M001054","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7269271","Software applications;media apps;deployment;RIA;web apps;sandboxed apps;virtualization;VDI;hosted virtual desktop;desktop streaming;AJAX;HTML5","","","","","","","13","","19 Oct 2015","","","SMPTE","SMPTE Conferences"
"Examining Programmer Practices for Locally Handling Exceptions","M. B. Kery; C. Le Goues; B. A. Myers","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA; Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA; Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR)","26 Jan 2017","2016","","","484","487","Many have argued that the current try/catch mechanism for handling exceptions in Java is flawed. A major complaint is that programmers often write minimal and low quality handlers. We used the Boa tool to examine a large number of Java projects on GitHub to provide empirical evidence about how programmers currently deal with exceptions. We found that programmers handle exceptions locally in catch blocks much of the time, rather than propagating by throwing an Exception. Programmers make heavy use of actions like Log, Print, Return, or Throw in catch blocks, and also frequently copy code between handlers. We found bad practices like empty catch blocks or catching Exception are indeed widespread. We discuss evidence that programmers may misjudge risk when catching Exception, and face a tension between handlers that directly address local program statement failure and handlers that consider the program-wide implications of an exception. Some of these issues might be ad-dressed by future tools which autocomplete more complete handlers.","","978-1-4503-4186-8","","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7832931","Java Exceptions;Boa;GitHub;Error Handlers","Java;Data mining;Face;Software systems;Program processors","exception handling;Java;object-oriented programming","try/catch mechanism;Exception;GitHub;Boa tool;Java;exception handling;programmer practices","","","","12","","26 Jan 2017","","","IEEE","IEEE Conferences"
"Evaluating Virtual Collaborative Learning platforms using Social Network Analysis","W. Tawileh","Wirtschaftsinformatik - Information Management, Technische Universität Dresden, Germany","2016 Sixth International Conference on Digital Information Processing and Communications (ICDIPC)","19 May 2016","2016","","","80","86","During their collaboration in a virtual learning environment, students leave “digital traces” that record their interaction with other students, instructors, and learning objects. These traces allow instructors to monitor students' work and encourage isolated or passive ones to participate actively. They also help course designers to assess students' behavior and experience in the learning environment. This paper aims to explore the effects of design changes in Virtual Collaborative Learning arrangements on the learning experience using Social Network Analysis. The network structures of two international collaborative courses were analyzed, visualized and compared using the Social Network Analysis tool Gephi based on log files of the Social Network software elgg. The results show changes in groups' interaction after adjusting technical functions of the platform, the case study and the deliverables' method. A high potential of Social Network Analysis to understand group dynamics in the virtual classroom is also demonstrated here.","","978-1-4673-7504-7","10.1109/ICDIPC.2016.7470796","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7470796","Virtual Collaborative Learning;Social Network Analysis;Web 2.0;Arab Countries;Jordan","Collaborative work;Social network services;Collaboration;Business;Computers;Blogs;Data visualization","behavioural sciences computing;computer aided instruction;educational administrative data processing;educational courses;social networking (online);virtualisation","virtual classroom;elgg social network software;Gephi social network analysis tool;international collaborative courses;network structures;virtual collaborative learning arrangements;course designers;digital traces;virtual learning environment;virtual collaborative learning platforms","","","","34","","19 May 2016","","","IEEE","IEEE Conferences"
"Implementing a Smart Contract PKI","C. Patsonakis; K. Samari; A. Kiayias; M. Roussopoulos","University of Athens, Athens, Greece; University of Athens, Athens, Greece; University of Edinburgh, Edinburgh, U.K.; University of Athens, Athens, Greece","IEEE Transactions on Engineering Management","16 Oct 2020","2020","67","4","1425","1443","Public key infrastructures (PKIs) provide the foundations for securing Internet communications. Currently, PKIs are operated by centralized authorities, which have been involved in numerous security incidents. Blockchain or smart contract PKIs employ their distributed, fault-tolerant log of transactions to store either all identity records, or, constant-sized data to verify identity records stored off-chain. However, as most of these systems have never been implemented, there is little information regarding their practical implications. In this article, we implement, evaluate, and provide a complete security proof for the smart contract-based PKI of (Patsonakis et al.) on Ethereum. This construction incurs constant-sized storage at the expense of computational complexity. To explore this tradeoff, we propose and implement a second construction which, eliminates the need for trusted setup, preserves its security properties and show that it is the only version with constant-sized state that can be deployed on Ethereum's live chain. We compare these constructions with the simple approach of storing all identity records on the smart contract's state, to illustrate several shortcomings of Ethereum and its cost model. We propose several modifications for fine tuning the model, which should be considered for any smart contract platform like Ethereum so that it may support arbitrary distributed applications.","1558-0040","","10.1109/TEM.2020.2972638","EU Horizon 2020 NEANIAS; ERC Starting; ","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=9057412","Accumulator;blockchain;Ethereum;smart contract","Contracts;Public key;Internet;Additives","computational complexity;contracts;cryptography;formal specification;Internet;public key cryptography;software fault tolerance;system monitoring","constant-sized data;identity records;complete security proof;smart contract-based PKI;constant-sized storage;security properties;constant-sized state;smart contract platform;public key infrastructures;centralized authorities;smart contract PKI;secured Internet communications;Ethereum live chain","","1","","48","IEEE","6 Apr 2020","","","IEEE","IEEE Journals"
"milliScope: A Fine-Grained Monitoring Framework for Performance Debugging of n-Tier Web Services","C. Lai; J. Kimball; T. Zhu; Q. Wang; C. Pu","Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA; Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA; Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA; Comput. Sci. & Eng, Louisiana State Univ., Baton Rouge, LA, USA; Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA","2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS)","17 Jul 2017","2017","","","92","102","Modern distributed systems are often considered to be black boxes that greatly limit the potential to understand behaviors at the level of detail necessary to diagnose some of the most important types of performance problems. Recently researchers have found abnormal response time delays, one to two orders of magnitude longer than the average response time, that exist in short periods and cause economic loss for service providers. These very short bottlenecks are hard to detect due to their short life spans and their variety of possible reasons. In this paper, we propose milliScope (mScope), the first millisecond-granularity software-based resource and event monitoring for distributed systems that achieves both performance, low overhead at high frequency, and high accuracy matched with other firmware monitoring tool. More specifically, milliScope is a fine-grained monitoring framework to collaborate multiple mScopeMonitors for event and resource monitoring to reconstruct the flow of each client request and profile execution performance in a distributed system. We utilize the resource mScopeMonitors for system resource monitoring, and we develop our own event mScopeMonitors to identify the execution boundary in a lightweight, precise and systematic methodology. The semantic and syntactic of these monitoring logs with arbitrary formats are enriched by our multistage data transformation tool, mScopeDataTransformer, which unifies the diverse monitoring logs into a dynamic data warehouse, mScopeDB, for advanced analysis. We conduct several illustrative scenarios in which milliScope successfully diagnoses the response time anomalies caused by very short bottlenecks using a representative web application benchmark (RUBBoS).","1063-6927","978-1-5386-1792-2","10.1109/ICDCS.2017.228","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=7979958","","Monitoring;Tools;Time factors;Semantics;Servers;Data warehouses;Frequency measurement","data warehouses;distributed processing;program debugging;system monitoring;Web services","milliScope;fine-grained monitoring framework;performance debugging;n-tier Web services;distributed systems;millisecond-granularity software-based resource;event monitoring;firmware monitoring tool;mScopeMonitors;profile execution performance;system resource monitoring;multistage data transformation tool;mScopeDataTransformer;dynamic data warehouse;mScopeDB;response time anomalies;representative Web application benchmark;RUBBoS","","6","","30","","17 Jul 2017","","","IEEE","IEEE Conferences"
"KPAT: A kernel and protocol analysis tool for embedded networking devices","M. Wang; C. Yu; C. Lin; C. Tseng; L. Yen","Dept. Computer Science, National Chiao Tung University, Hsinchu, Taiwan, R.O.C.; Dept. Computer Science, National Chiao Tung University, Hsinchu, Taiwan, R.O.C.; Dept. Computer Science, National Chiao Tung University, Hsinchu, Taiwan, R.O.C.; Dept. Computer Science, National Chiao Tung University, Hsinchu, Taiwan, R.O.C.; Dept. Computer Science and Information Engineering, National University of Kaohsiung, Kaohsiung, Taiwan, R.O.C.","2014 IEEE International Conference on Communications (ICC)","28 Aug 2014","2014","","","1160","1165","Sniffer tools capture protocol data. Kernel-profiling tools track function calls and events occurring in the kernel. These two types of tools help us observe external and internal behaviors of networking protocols, respectively. We need both types of data for a comprehensive view of protocol behavior. However, none of existing tools performs these two tasks in an integrated way. We developed Kernel and Protocol Analysis Tool (KPAT). KPAT injects software probes into Linux kernel to track interested function calls and event occurrences in the kernel. Probe injection is done systematically and does not require recompiling the kernel. A module in KPAT finds the association between the tracked functions and protocol data captured by an independent sniffer. The result as an integrated log allows users to identify two-way relationship between protocol data and the execution sequence of network functions in the kernel. We successfully used KPAT to identity accurate latency of each handover phase in IEEE 802.11 wireless networks. Experimental results show that KPAT causes light overhead to the patched kernel.","1938-1883","978-1-4799-2003-7","10.1109/ICC.2014.6883478","","https://ieeexplore-ieee-org.proxy.lib.uwaterloo.ca/stamp/stamp.jsp?arnumber=6883478","Embedded Devices;Kernel Functions;Kernel Events;Networking Protocols;Packet Sniffers","Kernel;Protocols;Probes;Handover;Linux","Linux;operating system kernels;protocols;wireless LAN","KPAT;kernel and protocol analysis tool;embedded networking devices;protocol data;kernel-profiling tools;function calls;networking protocols;software probes;Linux kernel;probe injection;independent sniffer;IEEE 802.11 wireless networks;network function execution sequence;handover phase","","1","","31","","28 Aug 2014","","","IEEE","IEEE Conferences"
